strategy_id,symbol,timeframe,status,period_start,period_end,initial,final,ret_3y,cagr_3y,ret_1y,bh_ret_3y,bh_final,maxdd,oos_pass,n_trades,gate_pass,score,full_start,full_end,full_ret,full_bh_ret,full_maxdd,full_oos_pass,gate_pass_full,gate_pass_both
donchian20_s1.5_t1.5__OP__4h,OP,4h,現役,2023-09-24,2026-09-24,10000.0,20567.55,105.6755,27.1658,31.9873,-90.3773,962.27,-28.5979,5/6,68,True,54.3147,2022-06-04,2026-09-24,130.2371,-91.1866,-37.4121,5/6,True,True
ema12_26_atr_btcRegime__SOL__1d,SOL,1d,候選,2023-09-24,2026-09-23,10000.0,64693.84,546.9384,86.4115,19.7597,492.7687,59276.87,-37.8425,4/6,13,True,53.4996,2020-09-06,2026-09-23,21332.4411,3608.9952,-45.4713,3/6,False,False
donchian55_s2.5_t3.5__ICP__4h,ICP,4h,衛星候補,2023-09-24,2026-09-24,10000.0,15275.35,52.7535,15.1639,102.8024,-1.0769,9892.31,-39.7865,4/6,30,True,46.6784,2022-03-11,2026-09-24,36.5319,-81.7054,-50.1641,4/6,False,False
donchian20_s1.5_t1.5__DOT__4h,DOT,4h,現役,2023-09-24,2026-09-24,10000.0,14249.87,42.4987,12.5275,37.9151,-72.4253,2757.47,-28.1604,5/6,71,True,45.701,2022-03-06,2026-09-24,-37.5518,-93.4624,-68.1595,5/6,False,False
donchian55_s2.0_t3.0__FET__4h,FET,4h,候選,2023-09-24,2026-09-24,10000.0,17798.05,77.9805,21.1786,22.6081,-8.63,9137.0,-36.0232,4/6,30,True,32.5451,2022-03-12,2026-09-24,78.2755,-41.2221,-40.4041,4/6,True,True
donchian55_s2.0_t3.0_btcRegimeD__FET__4h,FET,4h,候選,2023-09-24,2026-09-24,10000.0,15329.1,53.291,15.2963,1.8464,-8.63,9137.0,-31.6736,4/6,23,True,27.6881,2022-03-12,2026-09-24,62.1394,-41.2221,-31.6736,4/6,True,True
donchian55_s2.0_t3.0__LSK__4h,LSK,4h,候選,2023-09-24,2026-09-24,10000.0,9390.41,-6.0959,-2.0743,22.5951,-52.4811,4751.89,-33.4947,4/6,23,True,23.704,2022-03-11,2026-09-24,-49.1794,-82.808,-68.0114,3/6,False,False
donchian55_s3.0_t4.0_btcRegimeD__FET__4h,FET,4h,候選,2023-09-24,2026-09-24,10000.0,12725.22,27.2522,8.3615,8.7054,-8.63,9137.0,-41.5263,4/6,23,True,14.2303,2022-03-12,2026-09-24,20.1536,-41.2221,-43.8765,4/6,True,True
donchian55_s2.5_t3.5_btcRegimeD__FET__4h,FET,4h,候選,2023-09-24,2026-09-24,10000.0,12505.5,25.055,7.7345,-2.9267,-8.63,9137.0,-39.6434,4/6,23,True,12.6596,2022-03-12,2026-09-24,27.7736,-41.2221,-39.6434,4/6,True,True
donchian_breakout_atr__NEAR__4h,NEAR,4h,對照,2023-09-24,2026-09-24,10000.0,175845.37,1658.4537,159.9854,146.0474,293.1706,39317.06,-34.0037,3/6,74,False,0.0,2022-03-06,2026-09-24,509.8923,-58.5132,-66.7161,4/6,False,False
donchian_breakout_wide__NEAR__4h,NEAR,4h,對照,2023-09-24,2026-09-24,10000.0,88644.84,786.4484,106.9247,127.8893,293.1706,39317.06,-60.1375,3/6,74,False,0.0,2022-03-06,2026-09-24,369.8462,-58.5132,-60.1375,4/6,False,False
donchian55_atr_btcRegime_lev1.5__SOL__1d,SOL,1d,候選,2023-09-24,2026-09-23,10000.0,62327.73,523.2773,84.1091,8.0625,492.7687,59276.87,-58.3528,4/6,12,False,0.0,2020-10-05,2026-09-23,39316.7084,4226.9746,-58.3528,3/6,False,False
donchian20_atr_btcRegime__SOL__1d,SOL,1d,現役,2023-09-24,2026-09-23,10000.0,53534.57,435.3457,75.0026,34.1426,492.7687,59276.87,-40.8998,4/6,11,False,0.0,2020-08-31,2026-09-23,36580.6438,2319.3111,-45.0127,4/6,False,False
supertrend3__SOL__4h,SOL,4h,候選,2023-09-24,2026-09-24,10000.0,38003.89,280.0389,56.0386,-44.691,484.929,58492.9,-65.7891,3/6,80,False,0.0,2021-04-06,2026-09-24,612.7348,373.1447,-80.83,2/6,False,False
donchian_breakout_atr__SUI__4h,SUI,4h,候選,2023-09-24,2026-09-24,10000.0,36929.93,269.2993,54.555,-6.4965,117.8196,21781.96,-56.2064,3/6,69,False,0.0,2023-05-06,2026-09-24,192.2715,-27.8576,-56.2064,4/6,False,False
rotation_lb120_top3_absMom__MULTI__1d,MULTI,1d,候選,2023-09-24,2026-09-23,10000.0,35788.46,257.8846,53.0056,-26.9831,183.8945,28389.45,-56.931,3/6,301,False,0.0,2017-08-17,2026-09-23,21080.6104,14677.0728,-79.1567,5/6,False,False
ema_trend_hold__DOGE__4h,DOGE,4h,候選,2023-09-24,2026-09-24,10000.0,28005.04,180.0504,40.9434,-46.2511,51.0373,15103.73,-72.357,3/6,147,False,0.0,2021-04-06,2026-09-24,262.8653,46.5124,-75.1688,4/6,False,False
donchian20_s2.5_t3.5__CAKE__4h,CAKE,4h,候選,2023-09-24,2026-09-24,10000.0,25777.86,157.7786,37.1043,-22.2477,126.7072,22670.72,-50.8004,2/6,67,False,0.0,2022-03-06,2026-09-24,81.5071,-57.6542,-50.8004,4/6,False,False
donchian20_s2.0_t3.0__ADA__4h,ADA,4h,候選,2023-09-24,2026-09-24,10000.0,25758.39,157.5839,37.0698,7.5045,-2.7663,9723.37,-44.5717,3/6,74,False,0.0,2021-04-06,2026-09-24,-34.6768,-80.8692,-78.019,3/6,False,False
donchian55_s2.0_t3.0__FET__1h,FET,1h,現役,2023-09-24,2026-09-24,10000.0,20804.62,108.0462,27.6453,87.3169,-9.2189,9078.11,-53.6757,4/6,122,False,0.0,2023-04-25,2026-09-24,66.2906,-37.8821,-53.6757,4/6,False,False
